State,Date,Handle,Revenue,Hold,Taxes
nevada,19-Jan,497482993,14626000,2.94%,987255.0
nevada,19-Feb,458591549,35816000,7.81%,2417580.0
nevada,19-Mar,596752294,32523000,5.45%,2195303.0
nevada,19-Apr,328121212,21656000,6.60%,1461780.0
nevada,19-May,317380282,11267000,3.55%,760523.0
nevada,19-Jun,322077670,16587000,5.15%,1119623.0
nevada,19-Jul,235659955,10534000,4.47%,711045.0
nevada,19-Aug,287757296,18733000,6.51%,1264478.0
nevada,19-Sep,546358867,52068000,7.39%,3514590.0
nevada,19-Oct,543552781,47887000,8.81%,3232373.0
nevada,19-Nov,614118812,31013000,5.05%,2093378.0
nevada,19-Dec,571179245,36327000,6.36%,2452073.0
nevada,20-Jan,502543641,20152000,4.01%,1360260.0
nevada,20-Feb,489105725,38064000,7.78%,2569320.0
nevada,20-Mar,141108201,1455000,1.03%,98213.0
nevada,April-May 2020,56263737,2669000,4.74%,180158.0
nevada,20-Jun,78152387,-483000,-0.62%,
nevada,20-Jul,165552030,6295000,3.80%,424913.0
nevada,20-Aug,474948414,16985000,3.58%,1146488.0
nevada,20-Sep,575144025,32895000,5.72%,2220413.0
nevada,20-Oct,659899331,42388000,6.42%,2861190.0
nevada,20-Nov,609376849,61807000,10.14%,4171973.0
rhode_island,19-Jan,19051125,159978,0.80%,81589.0
rhode_island,19-Feb,20686618,-890623,-4.30%,-454218.0
rhode_island,19-Mar,23582716,1548230,6.60%,789597.0
rhode_island,19-Apr,16859818,1970110,11.70%,1004756.0
rhode_island,19-May,18900152,899165,4.80%,458574.0
rhode_island,19-Jun,14736667,2149999,14.60%,1096499.0
rhode_island,19-Jul,8321947,827579,9.90%,422065.0
rhode_island,19-Aug,10060066,851788,8.50%,434412.0
rhode_island,19-Sep,22195789,2516059,11.30%,1283190.0
rhode_island,19-Oct,28281024,2457136,8.70%,1253139.0
rhode_island,19-Nov,31465062,2745518,8.70%,1400214.0
rhode_island,19-Dec,31670511,2571755,8.10%,1311595.0
rhode_island,20-Jan,26939692,3279241,12.20%,1672413.0
rhode_island,20-Feb,28147862,2323432,8.30%,1184950.0
rhode_island,20-Mar,8949157,841767,9.40%,429301.0
rhode_island,20-Apr,591377,27381,4.60%,13964.0
rhode_island,20-May,1533114,163472,10.70%,83371.0
rhode_island,20-Jun,2032803,101328,5.00%,51677.0
rhode_island,20-Jul,6738626,351425,5.20%,179227.0
rhode_island,20-Aug,23116965,1423391,6.20%,725929.0
rhode_island,20-Sep,31293150,2352788,7.50%,1199922.0
rhode_island,20-Oct,34704413,4388841,12.60%,2238309.0
rhode_island,20-Nov,35098445,6281321,17.90%,3203474.0
west_virginia,19-Jan,22431187,1746233,7.80%,174623.0
west_virginia,19-Feb,16609597,171089,1.00%,17109.0
west_virginia,19-Mar,13850999,1597521,11.50%,159752.0
west_virginia,19-Apr,10334722,554880,5.40%,55488.0
west_virginia,19-May,10704030,937065,8.80%,93707.0
west_virginia,19-Jun,7634979,379228,5.00%,37923.0
west_virginia,19-Jul,5851318,682213,11.70%,68221.0
west_virginia,19-Aug,12656911,1549585,12.20%,154959.0
west_virginia,19-Sep,25620078,3755760,14.70%,375576.0
west_virginia,19-Oct,37022626,3156830,8.50%,315683.0
west_virginia,19-Nov,32968353,2289056,6.90%,228906.0
west_virginia,19-Dec,30342334,2322915,7.70%,232292.0
west_virginia,20-Jan,44253798,3651273,8.30%,365127.0
west_virginia,20-Feb,39618767,-626470,-1.60%,-62647.0
west_virginia,20-Mar,14705300,1101454,7.50%,110145.0
west_virginia,20-Apr,2965302,155058,5.20%,15506.0
west_virginia,20-May,4971928,541188,10.90%,54119.0
west_virginia,20-Jun,6338618,567836,9.00%,56784.0
west_virginia,20-Jul,15853463,1573845,9.90%,157385.0
west_virginia,20-Aug,45897001,2337229,5.10%,233723.0
west_virginia,20-Sep,76951429,4603811,6.00%,460381.0
west_virginia,20-Oct,44633016,3742779,8.40%,374278.0
west_virginia,20-Nov,48532442,4407576,9.10%,440758.0
west_virginia,20-Dec,70134202,6466132,9.20%,646613.0
arkansas,19-Jul,416160,76885,18.50%,9995.0
arkansas,19-Aug,778249,58858,7.60%,7652.0
arkansas,19-Sep,2252196,183044,8.10%,23796.0
